action,timestamp,x_axis,y_axis,z_axis
notfall,15686645559340004,20,-32.03125,4.048
notfall,15686645559810005,20,-32.03125,0.0
notfall,15686645560280006,19,-27.11864406779661,-4.348
notfall,15686645560750007,19,-27.11864406779661,0.0
notfall,15686645561220008,-10,-27.692307692307693,0.0
notfall,15686645561680009,-10,-27.692307692307693,0.0
notfall,15686645562150010,-11,-20.588235294117645,-5.448
notfall,15686645562620011,-11,-20.588235294117645,0.0
notfall,15686645563090012,-11,-16.386554621848738,0.0
notfall,15686645563560013,-11,-16.386554621848738,0.0
notfall,15686645564030014,-12,-16.666666666666668,-5.357
notfall,15686645564500015,-12,-16.666666666666668,0.0
notfall,15686645564960016,-16,-26.878612716763005,-33.728
notfall,15686645565430017,-16,-26.878612716763005,0.0
notfall,15686645565900018,-15,-26.878612716763005,8.637
notfall,15686645566370019,-15,-26.878612716763005,0.0
notfall,15686645566840020,-16,-31.176470588235293,-7.165
notfall,15686645567310021,-16,-31.176470588235293,0.0
notfall,15686645567780022,-16,-31.32530120481928,0.0
notfall,15686645568240023,-16,-31.32530120481928,0.0
notfall,15686645568710024,-15,-26.023391812865498,8.831
notfall,15686645569180025,-15,-26.023391812865498,0.0
notfall,15686645569650026,-16,-26.47058823529412,-8.717
notfall,15686645570120027,-16,-26.47058823529412,0.0
notfall,15686645570590028,-16,-24.21383647798742,0.0
notfall,15686645571060029,-16,-24.21383647798742,0.0
notfall,15686645571530030,-13,-18.58974358974359,28.23
notfall,15686645571990031,-13,-18.58974358974359,0.0
notfall,15686645572460032,-16,-25.675675675675674,-23.061
notfall,15686645572930033,-16,-25.675675675675674,0.0
notfall,15686645573400034,-16,-27.631578947368418,0.0
notfall,15686645573870035,-16,-27.631578947368418,0.0
fall,15686645574340036,-16,-27.419354838709676,0.0
fall,15686645574810037,-16,-27.419354838709676,0.0
fall,15686645575280038,-13,-26.729559748427672,27.630000000000003
fall,15686645575740039,-13,-26.729559748427672,0.0
fall,15686645576210040,-10,-21.51898734177215,30.33
fall,15686645576680041,-10,-21.51898734177215,0.0
fall,15686645577150042,-5,-22.151898734177216,51.900000000000006
fall,15686645577620043,-5,-22.151898734177216,0.0
fall,15686645578090044,4,-18.0,98.244
fall,15686645578550045,4,-18.0,0.0
fall,15686645579020046,15,-15.034965034965037,0.0
fall,15686645579490047,15,-15.034965034965037,0.0
fall,15686645579960048,30,-8.778625954198471,0.0
fall,15686645580430049,30,-8.778625954198471,0.0
fall,15686645580900050,44,-3.6231884057971007,0.0
fall,15686645581370051,44,-3.6231884057971007,0.0
fall,15686645581840052,56,25.93984962406015,0.0
fall,15686645582300053,56,25.93984962406015,0.0
fall,15686645582770054,71,29.36507936507936,0.0
fall,15686645583240055,71,29.36507936507936,0.0
fall,15686645583710056,85,58.910891089108915,0.0
fall,15686645584180057,85,58.910891089108915,0.0
fall,15686645584650058,104,96.73913043478262,18.787
fall,15686645585120059,104,96.73913043478262,0.0
fall,15686645585580060,96,95.45454545454545,0.0
fall,15686645586050061,96,95.45454545454545,0.0
fall,15686645586520062,96,91.1764705882353,0.0
fall,15686645586990063,96,91.1764705882353,0.0
fall,15686645587460064,100,108.8235294117647,47.588
fall,15686645587930065,100,108.8235294117647,0.0
fall,15686645588400066,109,115.07936507936508,98.28899999999999
fall,15686645588870067,109,115.07936507936508,0.0
fall,15686645589330068,110,112.5,10.972
fall,15686645589800069,110,112.5,0.0
lying,15686645590270070,111,112.90322580645163,10.423
lying,15686645590740071,111,112.90322580645163,0.0
lying,15686645591210072,111,117.79661016949152,0.0
lying,15686645591680073,111,117.79661016949152,0.0
lying,15686645592150074,111,122.41379310344827,0.0
lying,15686645592610075,111,122.41379310344827,0.0
lying,15686645593080076,111,122.41379310344827,0.0
lying,15686645593550077,111,122.41379310344827,0.0
lying,15686645594020078,111,122.41379310344827,0.0
lying,15686645594490079,111,122.41379310344827,0.0
lying,15686645594960080,111,122.41379310344827,0.0
lying,15686645595430081,111,122.41379310344827,0.0
lying,15686645595890082,111,122.41379310344827,0.0
lying,15686645596360083,111,122.41379310344827,0.0
lying,15686645596830084,111,122.41379310344827,0.0
lying,15686645597300085,111,122.41379310344827,0.0
lying,15686645597770086,111,122.41379310344827,0.0
lying,15686645598240087,111,122.41379310344827,0.0
lying,15686645598710088,111,122.41379310344827,0.0
lying,15686645599180089,111,122.41379310344827,0.0
lying,15686645599640090,111,122.41379310344827,0.0
lying,15686645600110091,111,122.41379310344827,0.0
lying,15686645600580092,111,122.41379310344827,0.0
lying,15686645601050093,111,122.41379310344827,0.0
lying,15686645601520094,111,122.41379310344827,0.0
lying,15686645601990095,111,122.41379310344827,0.0
lying,15686645602460096,111,122.41379310344827,0.0
lying,15686645602920097,111,122.41379310344827,0.0
lying,15686645603390098,111,122.41379310344827,0.0
lying,15686645603860099,111,122.41379310344827,0.0
lying,15686645604330100,111,122.41379310344827,0.0
lying,15686645604800101,111,122.41379310344827,0.0
lying,15686645605270102,111,122.41379310344827,0.0
lying,15686645605740103,111,122.41379310344827,0.0
lying,15686645606200104,111,122.41379310344827,0.0
lying,15686645606670105,111,122.41379310344827,0.0
lying,15686645607140106,111,122.41379310344827,0.0
lying,15686645607610107,111,122.41379310344827,0.0
lying,15686645608080108,111,122.41379310344827,0.0
lying,15686645608550109,111,122.41379310344827,0.0
lying,15686645609020110,111,122.41379310344827,0.0
lying,15686645609490111,111,122.41379310344827,0.0
lying,15686645609950112,111,122.41379310344827,0.0
lying,15686645610420113,111,122.41379310344827,0.0
lying,15686645610890114,111,122.41379310344827,0.0
lying,15686645611360115,111,122.41379310344827,0.0
lying,15686645611830116,111,122.41379310344827,0.0
lying,15686645612300117,111,122.41379310344827,0.0
lying,15686645612770118,111,122.41379310344827,0.0
lying,15686645613230119,111,122.41379310344827,0.0
lying,15686645613700120,111,122.41379310344827,0.0
lying,15686645614170121,111,122.41379310344827,0.0
lying,15686645614640122,111,122.41379310344827,0.0
lying,15686645615110123,111,122.41379310344827,0.0
lying,15686645615580124,111,122.41379310344827,0.0
lying,15686645616050125,111,122.41379310344827,0.0
lying,15686645616510126,111,122.41379310344827,0.0
lying,15686645616980127,111,122.41379310344827,0.0
lying,15686645617450128,111,122.41379310344827,0.0
lying,15686645617920129,111,122.41379310344827,0.0
lying,15686645618390130,111,122.41379310344827,0.0
lying,15686645618860131,111,122.41379310344827,0.0
