action,timestamp,x-axis,y-axis,z-axis
walk,15663804565150031,69,45.02923976608187,0.0
walk,15663804566310032,68,34.30232558139535,6.9615
walk,15663804567400033,67,33.52601156069364,7.0495
walk,15663804568390034,66,43.67816091954023,11.2535
walk,15663804569350035,65,44.57142857142857,11.4905
walk,15663804570440036,65,33.714285714285715,0.0
walk,15663804571540037,65,46.285714285714285,0.0
walk,15663804572630038,65,47.42857142857143,0.0
walk,15663804573730039,65,48.0,0.0
walk,15663804574820040,65,48.0,0.0
walk,15663804575910041,65,48.0,0.0
walk,15663804577030042,64,46.590909090909086,11.4805
walk,15663804577960043,63,44.632768361581924,11.124
walk,15663804579060044,61,43.01675977653631,21.85
walk,15663804580200045,60,41.11111111111111,10.6205
walk,15663804581160046,58,39.010989010989015,20.777
walk,15663804582260047,57,37.704918032786885,10.154
walk,15663804583350048,56,36.41304347826087,9.6925
walk,15663804584440049,55,35.67567567567568,9.898
walk,15663804585540050,54,35.483870967741936,9.925
walk,15663804586630051,53,34.22459893048128,9.7305
walk,15663804587720052,51,33.86243386243386,19.407
walk,15663804588860053,50,34.21052631578947,9.816
walk,15663804589950054,49,34.031413612565444,9.8575
walk,15663804591050055,49,34.031413612565444,0.0
walk,15663804592160056,48,35.41666666666667,10.1775
walk,15663804593140057,48,35.41666666666667,0.0
walk,15663804594240058,49,35.602094240837694,10.2605
walk,15663804595170059,48,35.41666666666667,10.2985
walk,15663804596110060,49,35.602094240837694,10.373
walk,15663804597100061,49,35.07853403141361,0.0
walk,15663804598040062,49,34.031413612565444,0.0
walk,15663804599140063,48,33.85416666666667,10.3265
walk,15663804600150064,48,33.33333333333333,0.0
walk,15663804601150065,47,32.12435233160622,10.301
walk,15663804602250066,46,31.958762886597935,10.25
walk,15663804603180067,46,32.47422680412371,0.0
walk,15663804604150068,45,32.30769230769231,10.093
walk,15663804605140069,45,32.30769230769231,0.0
walk,15663804606230070,44,32.142857142857146,10.345
walk,15663804607330071,44,32.142857142857146,0.0
walk,15663804608270072,43,32.48730964467005,10.365
walk,15663804609360073,42,32.82828282828283,10.136
walk,15663804610450074,42,32.82828282828283,0.0
walk,15663804611390075,41,33.165829145728644,9.5765
walk,15663804612380076,41,34.17085427135678,0.0
walk,15663804613320077,41,34.67336683417086,0.0
walk,15663804614410078,41,34.67336683417086,0.0
walk,15663804615500079,41,34.67336683417086,0.0
walk,15663804616530080,41,33.66834170854271,0.0
walk,15663804617620081,41,37.2972972972973,0.0
walk,15663804618710082,40,37.77777777777778,8.665
walk,15663804619810083,40,37.28813559322034,0.0
walk,15663804620900084,39,35.16483516483517,8.2565
walk,15663804621990085,38,32.97872340425532,8.205
walk,15663804623090086,37,34.25414364640884,7.828
walk,15663804624070087,37,30.049261083743843,0.0
walk,15663804625010088,36,29.411764705882355,8.3865
walk,15663804626260089,45,29.743589743589745,70.96950000000001
walk,15663804627350090,36,27.941176470588236,75.8205
walk,15663804628530091,36,27.941176470588236,0.0
walk,15663804629620092,36,27.450980392156865,0.0
walk,15663804630720093,35,26.34146341463415,7.8745
walk,15663804631810094,35,26.82926829268293,0.0
walk,15663804632900095,36,33.939393939393945,6.794
walk,15663804634000096,36,39.285714285714285,0.0
walk,15663804635090097,35,34.810126582278485,6.3365
walk,15663804636070098,35,35.099337748344375,0.0
walk,15663804637010099,36,33.75796178343949,6.0725
walk,15663804638110100,37,37.857142857142854,5.5515
walk,15663804639200101,37,39.55223880597015,0.0
walk,15663804640220102,38,40.15151515151515,5.4785
walk,15663804641310103,39,42.63565891472868,5.475
walk,15663804642410104,39,43.30708661417323,0.0
walk,15663804643660105,40,45.08196721311475,5.283
walk,15663804644750106,40,46.28099173553719,0.0
walk,15663804645690107,41,47.863247863247864,5.2215
walk,15663804646620108,40,44.96124031007752,5.5205
walk,15663804647810109,39,28.855721393034827,7.7695
walk,15663804648870110,39,50.0,0.0
walk,15663804649960111,38,51.32743362831859,5.069
walk,15663804651050112,38,38.41059602649007,0.0
walk,15663804652150113,38,29.207920792079207,0.0
walk,15663804653240114,38,28.71287128712871,0.0
walk,15663804654490115,38,28.71287128712871,0.0
walk,15663804655900116,73,33.75,0.5392
walk,15663804656740117,73,33.75,0.0
walk,15663804657680118,73,33.75,0.0
walk,15663804658780119,73,33.75,0.0
walk,15663804659870120,37,54.08163265306123,0.37805
walk,15663804660960121,37,54.08163265306123,0.0
walk,15663804662060122,37,49.03846153846153,0.0
walk,15663804663150123,37,50.96153846153846,0.0
walk,15663804664240124,37,51.45631067961165,0.0
walk,15663804665340125,36,49.09090909090909,4.0185
walk,15663804666270126,37,54.45544554455446,3.8345
walk,15663804667370127,37,54.45544554455446,0.0
walk,15663804668350128,37,54.45544554455446,0.0
walk,15663804669320129,37,54.45544554455446,0.0
walk,15663804670410130,37,54.45544554455446,0.0
walk,15663804671510131,37,54.45544554455446,0.0
walk,15663804672600132,38,52.67857142857143,4.189
walk,15663804673690133,38,45.38461538461539,0.0
walk,15663804674790134,39,61.458333333333336,3.987
walk,15663804675880135,48,53.09734513274337,41.7825
walk,15663804676860136,39,45.038167938931295,45.414
walk,15663804677960137,39,48.4375,0.0
walk,15663804679050138,39,47.32824427480916,0.0
walk,15663804680200139,39,49.21875,0.0
walk,15663804681320140,39,46.666666666666664,0.0
walk,15663804682410141,39,47.72727272727273,0.0
walk,15663804683500142,39,48.484848484848484,0.0
walk,15663804684600143,38,46.666666666666664,5.4895
walk,15663804685690144,38,45.0,0.0
walk,15663804686780145,38,58.333333333333336,0.0
sleep,15663804687880146,38,58.333333333333336,0.0
sleep,15663804689010147,38,58.333333333333336,0.0
sleep,15663804690100148,38,58.87850467289719,0.0
sleep,15663804691190149,38,58.333333333333336,0.0
sleep,15663804692300150,38,36.41618497109826,0.0
sleep,15663804693290151,39,36.41618497109826,7.3555
sleep,15663804694380152,39,36.99421965317919,0.0
sleep,15663804695480153,40,36.99421965317919,6.9915
sleep,15663804696570154,41,38.23529411764706,6.825
sleep,15663804697660155,42,48.888888888888886,4.9645
sleep,15663804698760156,44,56.779661016949156,9.494
sleep,15663804699850157,46,59.130434782608695,9.184
sleep,15663804700860158,48,61.261261261261254,8.977
sleep,15663804701950159,50,62.727272727272734,9.078
sleep,15663804703050160,52,63.888888888888886,9.042
sleep,15663804704180161,54,67.3076923076923,8.739
sleep,15663804705160162,56,82.35294117647058,7.118
sleep,15663804706260163,59,83.33333333333334,10.332
sleep,15663804707500164,61,68.29268292682927,5.408
sleep,15663804708750165,63,55.44554455445545,6.845
sleep,15663804709850166,65,80.55555555555556,5.173
sleep,15663804710940167,67,88.23529411764706,5.099
sleep,15663804712060168,68,86.76470588235294,2.5405
sleep,15663804713010169,69,82.35294117647058,2.494
sleep,15663804714100170,70,97.05882352941177,2.7375
sleep,15663804715200171,71,101.47058823529412,3.2455
sleep,15663804716220172,72,104.41176470588236,3.3
sleep,15663804717310173,73,102.98507462686568,3.008
sleep,15663804718720174,74,105.97014925373134,3.274
sleep,15663804719810175,76,104.54545454545455,6.769
sleep,15663804720900176,77,104.54545454545455,3.4985
sleep,15663804722000177,78,106.15384615384616,3.511
sleep,15663804723090178,79,97.1830985915493,3.7695
sleep,15663804724070179,79,93.05555555555556,0.0
sleep,15663804725170180,80,91.8918918918919,3.862
sleep,15663804726110181,82,65.38461538461539,10.167
sleep,15663804727200182,83,70.52631578947368,4.7975
sleep,15663804728220183,84,64.42307692307693,5.19
sleep,15663804729310184,85,69.79166666666666,3.898
sleep,15663804730410185,86,81.48148148148148,4.2445
sleep,15663804731500186,88,65.68627450980392,10.222
sleep,15663804732590187,89,64.35643564356435,4.239
sleep,15663804733690188,90,89.04109589041096,3.1305
sleep,15663804734940189,91,89.04109589041096,3.1055
sleep,15663804736050190,92,85.33333333333334,3.2065
sleep,15663804737020191,92,69.0,0.0
sleep,15663804738120192,93,68.0,4.9115
sleep,15663804739210193,95,67.64705882352942,9.986
sleep,15663804740520194,96,66.66666666666666,4.9155
sleep,15663804741620195,97,57.28155339805825,3.855
sleep,15663804742710196,99,67.32673267326733,9.764
sleep,15663804743800197,100,58.415841584158414,3.7635
sleep,15663804744900198,102,61.458333333333336,6.942
sleep,15663804745990199,103,52.67857142857143,3.8835
sleep,15663804747090200,105,62.76595744680851,6.785
sleep,15663804748070201,106,63.725490196078425,3.7175
sleep,15663804749020202,108,67.3469387755102,7.181
sleep,15663804749960203,109,79.16666666666666,4.7035
sleep,15663804751050204,110,75.78947368421053,3.5245
sleep,15663804752190205,111,82.97872340425532,4.762
sleep,15663804753470206,112,77.17391304347827,3.0075
sleep,15663804754570207,113,82.02247191011236,2.9735
sleep,15663804755660208,114,83.9080459770115,2.929
sleep,15663804756600209,115,87.20930232558139,3.1615
sleep,15663804757690210,117,90.58823529411765,6.214
sleep,15663804758790211,118,91.01123595505618,4.3485
sleep,15663804760070212,119,94.11764705882352,3.6465
sleep,15663804761170213,120,91.95402298850574,3.786
sleep,15663804762260214,120,95.29411764705881,0.0
sleep,15663804763350215,120,122.72727272727273,0.0
sleep,15663804764350216,120,121.12676056338027,0.0
sleep,15663804765290217,119,115.94202898550725,3.9115
sleep,15663804766380218,119,113.23529411764706,0.0
sleep,15663804767490219,118,111.59420289855073,3.72
sleep,15663804768590220,118,110.14492753623189,0.0
sleep,15663804769680221,117,108.57142857142857,3.844
sleep,15663804770770222,117,107.14285714285714,0.0
sleep,15663804771920223,117,100.0,0.0
sleep,15663804772870224,117,97.36842105263158,0.0
sleep,15663804773960225,117,97.36842105263158,0.0
sleep,15663804775050226,117,88.09523809523809,0.0
sleep,15663804775990227,117,82.14285714285714,0.0
sleep,15663804777010228,117,80.23255813953489,0.0
sleep,15663804777950229,117,84.52380952380952,0.0
sleep,15663804778890230,117,85.54216867469879,0.0
sleep,15663804779820231,117,88.75,0.0
sleep,15663804780760232,118,93.75,4.1285
sleep,15663804781700233,118,97.46835443037975,0.0
sleep,15663804782630234,119,100.0,4.1635
sleep,15663804783730235,119,105.1948051948052,0.0
sleep,15663804784850236,119,105.1948051948052,0.0
sleep,15663804785940237,119,100.0,0.0
sleep,15663804786880238,119,116.43835616438356,0.0
sleep,15663804787970239,118,119.44444444444444,4.271
sleep,15663804788980240,118,114.86486486486487,0.0
sleep,15663804790080241,117,91.20879120879121,4.6965
sleep,15663804791010242,117,85.13513513513513,0.0
sleep,15663804792110243,117,75.0,0.0
sleep,15663804793200244,116,79.41176470588235,5.2305
sleep,15663804794290245,116,75.96153846153845,0.0
sleep,15663804795390246,116,76.92307692307693,0.0
sleep,15663804796380247,115,79.04761904761905,5.614
sleep,15663804797320248,115,80.0,0.0
sleep,15663804798410249,114,81.13207547169812,5.7115
sleep,15663804799500250,114,82.0754716981132,0.0
sleep,15663804800520251,113,84.76190476190476,5.6445
sleep,15663804801460252,113,85.04672897196261,0.0
sleep,15663804802400253,112,87.03703703703704,5.853
sleep,15663804803490254,112,83.65384615384616,0.0
sleep,15663804804590255,111,86.79245283018868,4.2565
sleep,15663804805680256,111,96.19047619047619,0.0
sleep,15663804806770257,110,104.1237113402062,5.969
sleep,15663804807960258,109,98.07692307692307,6.831
sleep,15663804808860259,109,76.04166666666666,0.0
sleep,15663804809960260,108,75.25773195876289,4.619
sleep,15663804811050261,108,75.51020408163265,0.0
sleep,15663804812200262,107,73.73737373737373,4.623
sleep,15663804813160263,107,74.48979591836735,0.0
sleep,15663804814260264,107,71.71717171717171,0.0
sleep,15663804815350265,107,71.0,0.0
sleep,15663804816440266,107,69.0,0.0
sleep,15663804817380267,107,74.15730337078652,0.0
sleep,15663804818470268,106,76.66666666666667,4.0045
sleep,15663804819570269,106,58.42696629213483,0.0
sleep,15663804820540270,106,65.93406593406593,0.0
sleep,15663804821640271,106,51.08695652173913,0.0
sleep,15663804822730272,106,48.10126582278481,0.0
sleep,15663804823820273,107,55.69620253164557,2.324
sleep,15663804824990274,107,48.10126582278481,0.0
sleep,15663804826080275,107,60.86956521739131,0.0
sleep,15663804827180276,107,66.66666666666666,0.0
sleep,15663804828270277,108,76.19047619047619,4.311
sleep,15663804829210278,108,70.65217391304348,0.0
sleep,15663804830300279,108,70.32967032967034,0.0
sleep,15663804831400280,109,75.0,3.75
sleep,15663804832380281,109,75.0,0.0
sleep,15663804833320282,109,75.0,0.0
sleep,15663804834410283,109,75.0,0.0
sleep,15663804835350284,109,75.0,0.0
sleep,15663804836350285,109,75.0,0.0
sleep,15663804837290286,109,75.0,0.0
sleep,15663804838380287,109,75.0,0.0
sleep,15663804839470288,109,75.0,0.0
sleep,15663804840570289,111,63.76811594202898,3.947
sleep,15663804841970290,111,63.76811594202898,0.0
sleep,15663804842910291,111,63.76811594202898,0.0
sleep,15663804844070292,111,89.70588235294117,0.0
sleep,15663804845170293,111,90.0,0.0
sleep,15663804846260294,111,82.43243243243244,0.0
sleep,15663804847350295,111,82.43243243243244,0.0
sleep,15663804848290296,111,82.43243243243244,0.0
sleep,15663804849380297,111,82.43243243243244,0.0
sleep,15663804850480298,111,82.43243243243244,0.0
sleep,15663804851570299,111,82.43243243243244,0.0
sleep,15663804852390300,110,60.273972602739725,2.095
sleep,15663804853370301,109,75.89285714285714,4.637
sleep,15663804854460302,109,84.15841584158416,0.0
sleep,15663804855550303,108,70.1923076923077,3.9795
sleep,15663804856650304,108,82.29166666666666,0.0
sleep,15663804857740305,108,82.29166666666666,0.0
sleep,15663804858830306,108,82.29166666666666,0.0
sleep,15663804859930307,108,82.29166666666666,0.0
sleep,15663804861020308,106,50.0,3.886
sleep,15663804862430309,105,46.666666666666664,1.9665
sleep,15663804863520310,105,47.12643678160919,0.0
sleep,15663804864390311,104,57.14285714285714,2.7115
sleep,15663804865480312,104,57.48031496062992,0.0
sleep,15663804866570313,104,60.0,0.0
sleep,15663804867670314,104,49.26470588235294,0.0
sleep,15663804868760315,103,47.44525547445255,5.308
sleep,15663804869850316,103,44.52554744525548,0.0
sleep,15663804871100317,103,40.87591240875913,0.0
sleep,15663804872230318,103,35.76642335766424,0.0
sleep,15663804873320319,124,38.793103448275865,0.33185
sleep,15663804874420320,124,32.758620689655174,0.0
sleep,15663804875350321,104,36.76470588235294,0.4716
sleep,15663804876340322,103,38.68613138686132,4.651
sleep,15663804877310323,103,39.416058394160586,0.0
sleep,15663804878400324,103,40.14598540145985,0.0
sleep,15663804879490325,102,42.7536231884058,4.501
sleep,15663804880590326,102,69.73684210526315,0.0
sleep,15663804881680327,102,67.08860759493672,0.0
sleep,15663804882770328,102,66.66666666666666,0.0
sleep,15663804883870329,102,66.66666666666666,0.0
sleep,15663804884870330,102,66.66666666666666,0.0
sleep,15663804885960331,102,66.66666666666666,0.0
sleep,15663804887050332,102,66.66666666666666,0.0
sleep,15663804888210333,102,66.66666666666666,0.0
sleep,15663804889150334,102,66.66666666666666,0.0
sleep,15663804890240335,102,66.66666666666666,0.0
sleep,15663804891340336,165,96.0,0.30720000000000003
sleep,15663804892430337,103,44.52554744525548,0.48195
sleep,15663804893370338,165,46.666666666666664,0.17525000000000002
sleep,15663804894460339,139,41.584158415841586,0.28250000000000003
sleep,15663804895550340,134,40.56603773584906,15.0925
sleep,15663804896700341,127,33.6283185840708,21.916999999999998
sleep,15663804897800342,135,44.761904761904766,25.172
sleep,15663804898890343,135,46.666666666666664,0.0
sleep,15663804899980344,112,42.1875,0.49135
sleep,15663804901140345,105,38.51851851851852,35.0945
sleep,15663804902240346,136,50.96153846153846,0.27395
sleep,15663804903330347,130,49.09090909090909,17.292
sleep,15663804904420348,130,49.09090909090909,0.0
sleep,15663804905520349,130,49.09090909090909,0.0
sleep,15663804906610350,130,49.09090909090909,0.0
sleep,15663804907700351,130,49.09090909090909,0.0
sleep,15663804908850352,130,49.09090909090909,0.0
sleep,15663804909950353,130,49.09090909090909,0.0
sleep,15663804911040354,130,49.09090909090909,0.0
sleep,15663804912190355,130,49.09090909090909,0.0
sleep,15663804913300356,105,72.61904761904762,0.3629
sleep,15663804914400357,105,63.725490196078425,0.0
sleep,15663804915490358,106,65.625,3.961
sleep,15663804916580359,107,62.5,3.7205
sleep,15663804917680360,107,74.32432432432432,0.0
sleep,15663804918770361,108,75.0,2.745
sleep,15663804919860362,109,75.0,2.527
sleep,15663804920860363,109,75.0,0.0
sleep,15663804921960364,110,77.27272727272727,2.282
sleep,15663804923050365,111,77.27272727272727,2.3275
sleep,15663804924370366,111,89.47368421052632,0.0
sleep,15663804925460367,111,86.20689655172413,0.0
sleep,15663804926550368,111,62.0253164556962,0.0
sleep,15663804927650369,111,62.0253164556962,0.0
sleep,15663804928740370,110,61.53846153846154,2.4105
sleep,15663804929830371,110,61.53846153846154,0.0
sleep,15663804930930372,110,61.53846153846154,0.0
sleep,15663804932070373,110,61.53846153846154,0.0
sleep,15663804933020374,110,61.53846153846154,0.0
sleep,15663804934430375,110,61.53846153846154,0.0
sleep,15663804935520376,103,58.82352941176471,21.2835
sleep,15663804936380377,103,59.74025974025974,0.0
sleep,15663804937490378,103,50.0,0.0
sleep,15663804938590379,103,50.0,0.0
sleep,15663804939680380,103,50.0,0.0
sleep,15663804940770381,103,50.0,0.0
sleep,15663804941870382,103,50.0,0.0
sleep,15663804942960383,103,58.22784810126582,0.0
sleep,15663804944380384,103,58.22784810126582,0.0
