action,timestamp,x_axis,y_axis,z_axis
notfall,15673646329470002,-13,-13.207547169811326,6.526
notfall,15673646329690003,-13,-10.185185185185189,0.0
notfall,15673646329930004,-14,-10.550458715596328,-7.1129999999999995
notfall,15673646330200005,-14,-10.550458715596328,0.0
notfall,15673646330450006,-14,-8.095238095238095,0.0
notfall,15673646330700007,-15,-8.490566037735848,-7.211
notfall,15673646330920008,-15,-8.715596330275227,0.0
notfall,15673646331140009,-15,-8.333333333333332,0.0
notfall,15673646331400010,0,0.0,94.5
notfall,15673646331620011,1,1.6483516483516536,6.1579999999999995
notfall,15673646331840012,-15,-5.238095238095236,-107.80799999999999
notfall,15673646332090013,-16,-5.963302752293576,-7.31
notfall,15673646332390014,-16,-5.140186915887852,0.0
notfall,15673646332600015,-17,-3.3333333333333326,-7.178
notfall,15673646332830016,-16,-2.884615384615385,7.146
notfall,15673646333050017,-17,-1.0000000000000009,-6.933
notfall,15673646333280018,-16,-1.9230769230769216,7.49
notfall,15673646333520019,-16,-5.045871559633025,0.0
notfall,15673646333750020,-17,-3.6363636363636376,-7.857
notfall,15673646333970021,-16,-7.009345794392524,7.228
notfall,15673646334190022,-16,-9.482758620689658,0.0
notfall,15673646334410023,-15,-12.295081967213118,7.928
notfall,15673646334630024,-15,-10.833333333333336,0.0
notfall,15673646334870025,-14,-11.983471074380164,7.9479999999999995
notfall,15673646335090026,-13,-9.829059829059828,7.937
notfall,15673646335310027,-12,-7.522123893805309,7.9079999999999995
notfall,15673646335530028,-12,-10.50420168067227,0.0
notfall,15673646335740029,-11,-7.522123893805309,8.027000000000001
notfall,15673646335970030,-11,-7.522123893805309,0.0
notfall,15673646336210031,-12,-8.260869565217394,-8.277000000000001
notfall,15673646336440032,-12,-6.756756756756754,0.0
notfall,15673646336660033,-12,-9.663865546218489,0.0
notfall,15673646336890034,-13,-8.260869565217394,-8.309
notfall,15673646337100035,-13,-12.096774193548386,0.0
notfall,15673646337320036,-13,-13.779527559055117,0.0
notfall,15673646337570037,-13,-13.358778625954196,0.0
notfall,15673646337790038,-12,-11.41732283464567,8.57
notfall,15673646338010039,-13,-7.8947368421052655,-8.009
notfall,15673646338230040,-13,-8.407079646017701,0.0
notfall,15673646338450041,-14,-10.526315789473683,-7.593
notfall,15673646338660042,-14,-10.176991150442475,0.0
notfall,15673646338910043,-15,-10.526315789473683,-7.537999999999999
notfall,15673646339130044,-15,-9.459459459459458,0.0
notfall,15673646339350045,-16,-9.090909090909088,-7.002000000000001
notfall,15673646339570046,-16,-9.821428571428571,0.0
notfall,15673646339790047,2,-0.5494505494505475,5.805
notfall,15673646340010048,-16,-9.459459459459458,0.0
notfall,15673646340250049,-17,-9.459459459459458,-7.281000000000001
notfall,15673646340470050,-17,-8.333333333333332,0.0
notfall,15673646340690051,-17,-9.459459459459458,0.0
notfall,15673646340910052,-17,-9.821428571428571,0.0
notfall,15673646341140053,-18,-10.869565217391305,-7.474
notfall,15673646341360054,20,10.810810810810812,4.235
notfall,15673646341600055,-15,-6.0,0.0
notfall,15673646341820056,-15,-6.0,0.0
notfall,15673646342040057,-15,-18.0,0.0
notfall,15673646342260058,-15,-18.0,0.0
notfall,15673646342540059,18,8.571428571428575,3.525
notfall,15673646342790060,18,8.571428571428575,0.0
notfall,15673646343030061,18,8.571428571428575,0.0
notfall,15673646343250062,18,8.571428571428575,0.0
notfall,15673646343470063,19,9.722222222222221,3.91
notfall,15673646343690064,28,19.84126984126984,34.146
notfall,15673646343910065,11,4.4303797468354436,-79.95100000000002
notfall,15673646344140066,-1,-2.1739130434782594,-66.456
notfall,15673646344380067,27,12.857142857142856,3.715
notfall,15673646344600068,2,-5.670103092783508,0.0
notfall,15673646344830069,12,4.4303797468354436,48.05
notfall,15673646345050070,3,-3.260869565217389,-48.428999999999995
notfall,15673646345260071,3,-3.260869565217389,0.0
notfall,15673646345480072,-15,-9.433962264150944,-118.764
notfall,15673646345720073,-14,-8.653846153846159,5.928
notfall,15673646345940074,-14,-8.653846153846159,0.0
notfall,15673646346160075,-17,-11.538461538461535,-18.429000000000002
notfall,15673646346390076,-17,-11.538461538461535,0.0
notfall,15673646346620077,-17,-11.538461538461535,0.0
notfall,15673646346840078,-17,-11.538461538461535,0.0
notfall,15673646347090079,-17,-11.904761904761909,0.0
notfall,15673646347300080,-17,-12.616822429906545,0.0
notfall,15673646347520081,-17,-9.047619047619051,0.0
notfall,15673646347740082,12,5.263157894736848,4.314
notfall,15673646347970083,16,9.154929577464786,17.312
notfall,15673646348190084,-15,-11.165048543689322,0.0
notfall,15673646348430085,-17,-13.888888888888891,-12.265999999999998
fall,15673646348640086,-16,-10.576923076923078,6.01
fall,15673646348870087,-16,-9.80392156862745,0.0
fall,15673646349100088,-16,-13.157894736842108,0.0
fall,15673646349320089,-16,-9.25925925925926,0.0
fall,15673646349540090,-16,-7.943925233644861,0.0
fall,15673646349780091,-15,-7.009345794392524,6.821000000000001
fall,15673646350000092,-15,-5.963302752293576,0.0
fall,15673646350210093,-15,-5.045871559633025,0.0
fall,15673646350430094,-14,-5.454545454545458,7.332000000000001
fall,15673646350650095,-14,-3.6363636363636376,0.0
fall,15673646350870096,-13,-4.385964912280704,7.808
fall,15673646351110097,-12,-4.310344827586205,8.146
fall,15673646351350098,-11,-5.462184873949576,8.431000000000001
fall,15673646351580099,-11,-12.676056338028168,0.0
fall,15673646351800100,-10,-1.8181818181818188,8.326
fall,15673646352030101,-9,-3.4482758620689666,8.87
fall,15673646352250102,-8,-14.666666666666664,10.48
fall,15673646352490103,-7,-1.8181818181818188,8.814
fall,15673646352780104,-6,0.4587155963302725,9.055
fall,15673646353000105,-5,0.4587155963302725,8.981
fall,15673646353220106,-4,2.293577981651373,9.027999999999999
fall,15673646353440107,-4,1.8181818181818188,0.0
fall,15673646353650108,-3,2.2522522522522515,9.154
fall,15673646353890109,-2,1.7857142857142905,9.243
fall,15673646354110110,0,0.0,18.23
fall,15673646354330111,2,-0.4424778761061954,18.284000000000002
fall,15673646354550112,5,-7.2519083969465665,30.581999999999997
fall,15673646354770113,8,-8.015267175572523,29.451
fall,15673646354990114,12,-3.846153846153844,37.391999999999996
fall,15673646355230115,17,1.7857142857142905,46.415
fall,15673646355450116,23,4.46428571428571,56.544
fall,15673646355670117,32,-4.128440366972475,74.367
fall,15673646355890118,40,3.703703703703709,68.296
fall,15673646356110119,52,-1.6393442622950838,109.2
fall,15673646356330120,64,10.447761194029848,0.0
fall,15673646356570121,76,26.66666666666667,91.824
fall,15673646356790122,90,19.52380952380952,0.0
fall,15673646357020123,103,55.555555555555564,0.0
fall,15673646357240124,118,94.82758620689656,98.835
fall,15673646357460125,127,86.66666666666669,59.508
fall,15673646357680126,131,112.06896551724137,31.236
