action,timestamp,x_axis,y_axis,z_axis
notfall,15686645382510004,59,-16.887417218543042,7.993
notfall,15686645382980005,59,-16.887417218543042,0.0
notfall,15686645383440006,3,-16.331658291457284,0.0
notfall,15686645383910007,3,-16.331658291457284,0.0
notfall,15686645384380008,-4,-1.869158878504673,0.0
notfall,15686645384850009,-4,-1.869158878504673,0.0
notfall,15686645385320010,-7,-20.046082949308758,-50.238
notfall,15686645385790011,-7,-20.046082949308758,0.0
notfall,15686645386260012,-7,-10.829493087557601,0.0
notfall,15686645386730013,-7,-10.829493087557601,0.0
notfall,15686645387190014,-5,-11.860465116279068,49.456
notfall,15686645387660015,-5,-11.860465116279068,0.0
notfall,15686645388130016,-4,-2.3364485981308416,29.318
notfall,15686645388600017,-4,-2.3364485981308416,0.0
notfall,15686645389070018,-4,-0.4672897196261683,0.0
notfall,15686645389540019,-4,-0.4672897196261683,0.0
notfall,15686645390010020,-7,22.811059907834096,0.0
notfall,15686645390470021,-7,22.811059907834096,0.0
notfall,15686645390940022,-9,31.278538812785385,-106.506
notfall,15686645391410023,-9,31.278538812785385,0.0
notfall,15686645391880024,-9,29.908675799086758,0.0
notfall,15686645392350025,-9,29.908675799086758,0.0
notfall,15686645392820026,-8,28.899082568807344,51.776
notfall,15686645393290027,-8,28.899082568807344,0.0
notfall,15686645393750028,-8,24.770642201834857,0.0
notfall,15686645394220029,-8,24.770642201834857,0.0
notfall,15686645394690030,-8,24.770642201834857,0.0
notfall,15686645395160031,-8,24.770642201834857,0.0
notfall,15686645395630032,-8,24.770642201834857,0.0
notfall,15686645396100033,-8,24.770642201834857,0.0
notfall,15686645396570034,-8,16.51376146788991,0.0
notfall,15686645397040035,-8,16.51376146788991,0.0
notfall,15686645397500036,-5,3.023255813953485,0.0
notfall,15686645397970037,-5,3.023255813953485,0.0
notfall,15686645398440038,-6,3.703703703703709,-37.533
notfall,15686645398910039,-6,3.703703703703709,0.0
notfall,15686645399380040,-8,1.3761467889908285,-67.616
notfall,15686645399850041,-8,1.3761467889908285,0.0
notfall,15686645400310042,-6,2.314814814814814,72.75
notfall,15686645400790043,-6,2.314814814814814,0.0
notfall,15686645401250044,-7,4.377880184331795,-37.367
notfall,15686645401720045,-7,4.377880184331795,0.0
notfall,15686645402190046,-8,4.128440366972475,-37.31
notfall,15686645402660047,-8,4.128440366972475,0.0
notfall,15686645403130048,-8,3.2110091743119296,0.0
notfall,15686645403600049,-8,3.2110091743119296,0.0
notfall,15686645404070050,-8,-7.339449541284404,0.0
notfall,15686645404530051,-8,-7.339449541284404,0.0
notfall,15686645405000052,-8,-7.339449541284404,0.0
notfall,15686645405470053,-8,-7.339449541284404,0.0
notfall,15686645405940054,-30,-1.3274336283185861,0.0
notfall,15686645406410055,-30,-1.3274336283185861,0.0
notfall,15686645406880056,-6,-6.944444444444442,32.864
notfall,15686645407350057,-6,-6.944444444444442,0.0
notfall,15686645407810058,-5,-11.395348837209301,29.123
notfall,15686645408280059,-5,-11.395348837209301,0.0
notfall,15686645408750060,-5,-12.790697674418606,0.0
notfall,15686645409220061,-5,-12.790697674418606,0.0
notfall,15686645409690062,-4,-12.616822429906543,28.437
notfall,15686645410160063,-4,-12.616822429906543,0.0
notfall,15686645410630064,-4,-9.813084112149534,0.0
notfall,15686645411090065,-4,-9.813084112149534,0.0
notfall,15686645411560066,-3,-14.7887323943662,24.356
notfall,15686645412030067,-3,-14.7887323943662,0.0
notfall,15686645412500068,-3,-15.258215962441312,0.0
notfall,15686645412970069,-3,-15.258215962441312,0.0
notfall,15686645413440070,-3,-12.910798122065724,0.0
notfall,15686645413910071,-3,-12.910798122065724,0.0
notfall,15686645414380072,0,-14.285714285714285,65.169
notfall,15686645414840073,0,-14.285714285714285,0.0
notfall,15686645415310074,0,-9.04761904761905,0.0
notfall,15686645415780075,0,-9.04761904761905,0.0
notfall,15686645416250076,3,-16.183574879227052,65.658
notfall,15686645416720077,3,-16.183574879227052,0.0
notfall,15686645417190078,3,-16.666666666666668,0.0
notfall,15686645417660079,3,-16.666666666666668,0.0
notfall,15686645418120080,4,-16.019417475728154,21.723
notfall,15686645418590081,4,-16.019417475728154,0.0
notfall,15686645419060082,6,-19.11764705882353,37.788
notfall,15686645419530083,6,-19.11764705882353,0.0
notfall,15686645420000084,10,-23.0,64.904
notfall,15686645420470085,10,-23.0,0.0
notfall,15686645420940086,15,-23.333333333333332,71.96
notfall,15686645421400087,15,-23.333333333333332,0.0
notfall,15686645421870088,16,-23.195876288659793,13.475
notfall,15686645422340089,16,-23.195876288659793,0.0
notfall,15686645422810090,48,-19.753086419753085,11.284
notfall,15686645423280091,48,-19.753086419753085,0.0
