action,timestamp,x-axis,y-axis,z-axis
walk,15663735125140002,103,33.07086614173229,0.31045
walk,15663735126240003,79,26.70807453416149,0.38650000000000007
walk,15663735127330004,70,25.294117647058822,35.0955
walk,15663735128320005,69,25.146198830409354,3.941
walk,15663735129020006,77,26.380368098159508,30.992
walk,15663735130110007,86,28.57142857142857,33.839999999999996
walk,15663735131200008,98,30.985915492957744,43.715999999999994
walk,15663735132300009,97,30.76923076923077,3.739
walk,15663735133280010,97,31.46853146853147,0.0
walk,15663735134240011,69,26.900584795321635,0.53445
walk,15663735135180012,66,26.436781609195403,16.5315
walk,15663735136350013,65,26.857142857142858,5.663
walk,15663735137450014,65,33.14285714285714,0.0
walk,15663735138380015,64,34.090909090909086,6.47
walk,15663735139480016,64,35.22727272727273,0.0
walk,15663735140570017,64,35.79545454545455,0.0
walk,15663735141730018,64,36.93181818181818,0.0
walk,15663735142820019,64,38.06818181818182,0.0
walk,15663735143910020,63,37.85310734463277,7.655
walk,15663735145020021,63,37.85310734463277,0.0
walk,15663735146020022,63,29.37853107344633,0.0
walk,15663735147110023,62,37.640449438202246,8.124
walk,15663735148050024,61,36.87150837988827,8.131
walk,15663735148990025,60,34.44444444444444,8.127
walk,15663735149920026,59,33.70165745856354,8.2
walk,15663735150860027,58,32.967032967032964,8.1355
walk,15663735151960028,58,33.51648351648351,0.0
walk,15663735152940029,58,32.417582417582416,0.0
walk,15663735154030030,57,54.166666666666664,5.669
walk,15663735155130031,56,35.869565217391305,8.394
walk,15663735156060032,56,35.869565217391305,0.0
walk,15663735157080033,56,35.32608695652174,0.0
walk,15663735158200034,56,44.13793103448276,0.0
walk,15663735159290035,56,59.43396226415094,0.0
walk,15663735160230036,56,59.43396226415094,0.0
walk,15663735161320037,56,56.88073394495413,0.0
walk,15663735162420038,56,56.88073394495413,0.0
walk,15663735163670039,56,44.0,0.0
walk,15663735164820040,56,38.125,0.0
walk,15663735165870041,56,37.88819875776397,0.0
walk,15663735166970042,57,36.74698795180723,6.9785
walk,15663735168060043,85,43.79562043795621,0.5602
walk,15663735169230044,85,41.37931034482759,0.0
walk,15663735170160045,87,40.55944055944056,10.453
walk,15663735171260046,89,41.13475177304964,9.79
walk,15663735172350047,89,40.28776978417266,0.0
walk,15663735173440048,115,29.09090909090909,0.233
walk,15663735174540049,55,32.73809523809524,0.65095
walk,15663735175770050,54,33.532934131736525,6.439
walk,15663735176880051,53,33.734939759036145,6.2625
walk,15663735177890052,53,34.96932515337423,0.0
walk,15663735178990053,53,36.09467455621302,0.0
walk,15663735180080054,53,46.21848739495798,0.0
walk,15663735181020055,53,40.625,0.0
walk,15663735182110056,53,42.58064516129032,0.0
walk,15663735183050057,52,44.07894736842105,6.2815
walk,15663735184140058,52,46.52777777777778,0.0
walk,15663735185280059,52,44.52054794520548,0.0
walk,15663735186240060,52,43.15068493150685,0.0
walk,15663735187180061,51,39.1025641025641,6.252
walk,15663735188270062,50,33.12101910828025,5.7865
walk,15663735189360063,49,32.91139240506329,5.839
walk,15663735190460064,49,32.91139240506329,0.0
walk,15663735191710065,49,33.33333333333333,0.0
walk,15663735192800066,48,32.91139240506329,5.5845
walk,15663735193890067,48,33.33333333333333,0.0
walk,15663735194830068,77,40.15748031496063,0.38610000000000005
walk,15663735195920069,76,39.682539682539684,3.728
walk,15663735197080070,75,34.4,3.3335
walk,15663735198020071,75,34.4,0.0
sit,15663735199110072,75,34.4,0.0
sit,15663735200210073,75,34.4,0.0
sit,15663735201300074,75,34.4,0.0
sit,15663735202460075,75,34.4,0.0
sit,15663735203470076,75,34.4,0.0
sit,15663735204570077,75,34.4,0.0
sit,15663735205720078,75,34.4,0.0
sit,15663735206810079,48,41.584158415841586,0.30560000000000004
sit,15663735207900080,49,41.41414141414141,2.9605
sit,15663735209050081,50,41.23711340206185,2.8975
sit,15663735210020082,51,40.0,2.851
sit,15663735211110083,53,33.81294964028777,9.678
sit,15663735212200084,55,26.53061224489796,9.495
sit,15663735213300085,58,33.33333333333333,16.058999999999997
sit,15663735214390086,61,35.91549295774648,14.8515
sit,15663735215480087,63,39.849624060150376,9.188
