action,timestamp,x-axis,y-axis,z-axis
walk,15663757256880042,69,12.865497076023392,0.22625000000000003
walk,15663757257970043,69,12.865497076023392,0.0
walk,15663757259150044,69,12.865497076023392,0.0
walk,15663757260380045,69,16.447368421052634,0.0
walk,15663757261410046,69,16.33986928104575,0.0
walk,15663757262500047,69,18.243243243243242,0.0
walk,15663757263590048,69,20.27972027972028,0.0
walk,15663757264690049,69,20.27972027972028,0.0
walk,15663757265780050,69,20.27972027972028,0.0
walk,15663757266790051,71,20.118343195266274,7.864
walk,15663757267890052,71,21.301775147928996,0.0
walk,15663757269050053,70,22.35294117647059,4.671
walk,15663757270140054,71,24.2603550295858,4.7135
walk,15663757271230055,70,25.294117647058822,5.6195
walk,15663757272320056,70,25.882352941176475,0.0
walk,15663757273420057,70,27.058823529411764,0.0
walk,15663757274510058,70,28.235294117647058,0.0
walk,15663757275880059,70,28.235294117647058,0.0
walk,15663757276930060,71,30.76923076923077,6.591
walk,15663757277880061,70,31.76470588235294,6.316
walk,15663757278970062,69,29.82456140350877,6.6285
walk,15663757280070063,70,30.58823529411765,6.862
walk,15663757281190064,70,31.176470588235293,0.0
walk,15663757282160065,70,32.926829268292686,0.0
walk,15663757283260066,70,31.76470588235294,0.0
walk,15663757284510067,69,32.748538011695906,7.544
walk,15663757285450068,69,33.91812865497076,0.0
walk,15663757286380069,69,33.91812865497076,0.0
walk,15663757287480070,69,33.91812865497076,0.0
walk,15663757288570071,68,37.2093023255814,7.4275
walk,15663757289730072,69,35.08771929824561,7.1365
walk,15663757290820073,68,40.69767441860465,7.8675
walk,15663757291760074,55,41.08108108108108,119.8015
walk,15663757292850075,55,37.2972972972973,0.0
walk,15663757293870076,73,33.532934131736525,0.69975
walk,15663757295120077,96,38.88888888888889,0.6801
walk,15663757296210078,89,36.423841059602644,45.8815
walk,15663757297310079,96,38.88888888888889,40.628
walk,15663757298400080,97,41.25874125874126,6.1845
walk,15663757299500081,97,42.65734265734265,0.0
walk,15663757300590082,96,43.06569343065693,5.8305
walk,15663757301720083,96,40.27777777777778,0.0
walk,15663757302660084,95,42.06896551724138,6.5785
walk,15663757303750085,92,41.891891891891895,21.069
walk,15663757304840086,93,48.97959183673469,7.6725
walk,15663757305960087,92,54.929577464788736,8.2105
walk,15663757306880088,95,53.79310344827586,28.429499999999997
walk,15663757307970089,68,48.25581395348838,1.0013
walk,15663757309140090,77,52.760736196319016,98.23499999999999
walk,15663757310080091,68,48.837209302325576,98.4375
walk,15663757311180092,68,50.602409638554214,0.0
walk,15663757312270093,68,45.348837209302324,0.0
walk,15663757313370094,69,51.21951219512195,10.9745
walk,15663757314460095,68,46.012269938650306,9.7675
walk,15663757315550096,91,31.386861313868614,0.41585000000000005
walk,15663757316800097,90,34.146341463414636,3.7135
walk,15663757317900098,89,33.057851239669425,3.4605
walk,15663757318830099,89,31.25,0.0
walk,15663757319770100,89,31.25,0.0
walk,15663757320860101,89,35.51401869158878,0.0
walk,15663757322020102,89,31.896551724137932,0.0
walk,15663757323270103,89,32.758620689655174,0.0
walk,15663757324370104,89,32.758620689655174,0.0
walk,15663757325460105,90,27.692307692307693,3.182
walk,15663757326550106,90,27.906976744186046,0.0
walk,15663757327650107,89,26.356589147286826,3.1155
walk,15663757328740108,88,27.34375,2.974
walk,15663757329730109,87,28.125,2.962
walk,15663757330820110,87,29.365079365079367,0.0
walk,15663757331760111,86,31.62393162393162,2.8105
walk,15663757332850112,85,32.17391304347826,2.749
walk,15663757334170113,85,31.57894736842105,0.0
walk,15663757335110114,85,31.858407079646017,0.0
walk,15663757336200115,85,30.973451327433626,0.0
walk,15663757337450116,84,29.72972972972973,2.6395
walk,15663757338550117,85,31.48148148148148,2.6415
walk,15663757339640118,85,30.701754385964914,0.0
walk,15663757340730119,85,29.82456140350877,0.0
walk,15663757341890120,85,29.20353982300885,0.0
walk,15663757342980121,85,29.464285714285715,0.0
walk,15663757344080122,85,29.09090909090909,0.0
walk,15663757345190123,84,29.72972972972973,2.6305
walk,15663757346170124,84,30.909090909090907,0.0
walk,15663757347270125,83,36.36363636363637,2.3735
walk,15663757348200126,82,38.38383838383838,2.5665
walk,15663757349450127,82,37.37373737373738,0.0
walk,15663757350410128,82,37.254901960784316,0.0
walk,15663757351200129,82,38.23529411764706,0.0
walk,15663757352290130,82,42.2680412371134,0.0
walk,15663757353250131,82,42.2680412371134,0.0
walk,15663757354190132,82,43.29896907216495,0.0
walk,15663757355130133,83,41.34615384615385,2.832
walk,15663757356070134,83,42.30769230769231,0.0
walk,15663757357030135,83,43.689320388349515,0.0
walk,15663757358020136,83,44.66019417475729,0.0
walk,15663757359110137,83,47.05882352941176,0.0
walk,15663757360210138,82,46.601941747572816,2.85
walk,15663757361300139,82,40.5940594059406,0.0
walk,15663757362390140,82,54.08163265306123,0.0
walk,15663757363490141,81,55.10204081632652,3.0735
walk,15663757364580142,81,46.391752577319586,0.0
walk,15663757365720143,81,47.42268041237113,0.0
walk,15663757366650144,81,46.875,0.0
walk,15663757367590145,81,45.83333333333333,0.0
walk,15663757368530146,81,45.26315789473684,0.0
walk,15663757369530147,81,43.15789473684211,0.0
walk,15663757370470148,81,40.625,0.0
walk,15663757371560149,81,37.11340206185567,0.0
walk,15663757372660150,81,36.08247422680412,0.0
walk,15663757373750151,81,35.41666666666667,0.0
walk,15663757374840152,80,35.41666666666667,2.668
walk,15663757376090153,80,35.78947368421053,0.0
walk,15663757376950154,80,35.78947368421053,0.0
walk,15663757378200155,80,35.1063829787234,0.0
walk,15663757379290156,80,35.16483516483517,0.0
walk,15663757380230157,80,34.831460674157306,0.0
walk,15663757381080158,80,32.58426966292135,0.0
walk,15663757382180159,80,31.46067415730337,0.0
walk,15663757383270160,80,29.88505747126437,0.0
walk,15663757384360161,80,23.91304347826087,0.0
walk,15663757385460162,80,25.0,0.0
walk,15663757386550163,80,26.881720430107524,0.0
walk,15663757387490164,80,27.659574468085108,0.0
walk,15663757388580165,81,31.914893617021278,2.173
walk,15663757389870166,81,32.631578947368425,0.0
walk,15663757390810167,82,35.78947368421053,2.3805
walk,15663757391740168,82,34.04255319148936,0.0
walk,15663757392840169,82,35.78947368421053,0.0
