action,timestamp,x_axis,y_axis,z_axis
notfall,15673644595720117,107,13.636363636363635,4.049
notfall,15673644595940118,107,24.576271186440678,0.0
notfall,15673644596160119,84,5.952380952380953,0.0
notfall,15673644596390120,76,3.2608695652173947,-46.552
notfall,15673644596610121,76,3.2608695652173947,0.0
notfall,15673644596850122,67,6.25,-52.910999999999994
notfall,15673644597160123,62,5.882352941176472,-36.83
notfall,15673644597390124,54,-18.93203883495146,-32.0
notfall,15673644597600125,49,-21.42857142857143,-25.764999999999997
notfall,15673644597830126,45,4.385964912280704,-35.38
notfall,15673644598050127,20,-5.782312925170069,0.0
notfall,15673644598290128,17,-1.0489510489510467,-35.472
notfall,15673644598510129,97,65.15151515151516,6.582
notfall,15673644598740130,97,69.6969696969697,0.0
notfall,15673644598960131,12,5.033557046979864,0.0
notfall,15673644599170132,12,5.629139072847678,0.0
notfall,15673644599390133,11,5.1948051948051965,-16.138
notfall,15673644599640134,11,5.844155844155841,0.0
notfall,15673644599850135,10,5.769230769230771,-16.847
notfall,15673644600070136,9,5.696202531645566,-17.312
notfall,15673644600290137,8,6.329113924050633,-17.733
notfall,15673644600510138,7,5.555555555555558,-18.24
notfall,15673644600730139,6,3.0864197530864224,-17.324
notfall,15673644600980140,6,1.5337423312883458,0.0
notfall,15673644601200141,5,2.8301886792452824,-14.596
notfall,15673644601440142,5,-14.150943396226417,0.0
notfall,15673644601670143,4,-0.2994011976047928,-16.579
notfall,15673644601880144,4,-0.8982035928143728,0.0
notfall,15673644602100145,4,-0.8982035928143728,0.0
notfall,15673644602350146,4,3.289473684210531,0.0
notfall,15673644602570147,4,-4.455445544554454,0.0
notfall,15673644602780148,4,-2.1276595744680824,0.0
notfall,15673644602990149,4,-2.1276595744680824,0.0
notfall,15673644603210150,4,-2.1276595744680824,0.0
notfall,15673644603440151,4,-2.1276595744680824,0.0
notfall,15673644603690152,4,-2.1276595744680824,0.0
notfall,15673644603910153,4,-2.1276595744680824,0.0
notfall,15673644604130154,4,-2.1276595744680824,0.0
notfall,15673644604340155,4,-2.1276595744680824,0.0
notfall,15673644604560156,4,-2.1276595744680824,0.0
notfall,15673644604770157,4,-11.607142857142854,0.0
notfall,15673644605020158,4,-11.607142857142854,0.0
notfall,15673644605230159,5,-11.261261261261263,6.188
notfall,15673644605450160,5,-10.576923076923078,0.0
notfall,15673644605670161,5,-10.576923076923078,0.0
notfall,15673644605890162,5,-10.576923076923078,0.0
notfall,15673644606110163,5,-10.576923076923078,0.0
notfall,15673644606350164,5,-10.576923076923078,0.0
notfall,15673644606570165,5,-10.576923076923078,0.0
notfall,15673644606790166,5,-10.576923076923078,0.0
notfall,15673644607010167,5,-10.576923076923078,0.0
notfall,15673644607270168,5,-10.576923076923078,0.0
notfall,15673644607510169,6,-8.510638297872342,5.035
notfall,15673644607750170,5,-9.999999999999998,-5.254
notfall,15673644607960171,5,-10.784313725490197,0.0
notfall,15673644608170172,5,-9.405940594059404,0.0
notfall,15673644608390173,4,-19.565217391304344,-9.119
notfall,15673644608610174,4,-18.148148148148145,0.0
notfall,15673644608830175,3,-19.444444444444443,-9.811
notfall,15673644609070176,3,-16.165413533834588,0.0
notfall,15673644609280177,3,-16.433566433566433,0.0
notfall,15673644609500178,3,-21.42857142857143,0.0
notfall,15673644609710179,2,-20.65868263473054,-11.291
notfall,15673644609930180,1,-21.084337349397593,-10.804
notfall,15673644610150181,-1,-11.22448979591837,-10.332
notfall,15673644610380182,-2,-16.929133858267715,-7.165
notfall,15673644610600183,-3,-19.841269841269842,-6.72
notfall,15673644610810184,-3,-28.749999999999996,0.0
notfall,15673644611020185,-3,-22.499999999999996,0.0
notfall,15673644611240186,-3,-22.499999999999996,0.0
notfall,15673644611450187,-3,-28.289473684210524,0.0
notfall,15673644611690188,-3,-28.666666666666664,0.0
notfall,15673644611910189,-2,-30.272108843537417,7.196
notfall,15673644612140190,-3,-27.397260273972602,-7.571
notfall,15673644612380191,-3,-25.694444444444443,0.0
notfall,15673644612620192,-3,-25.694444444444443,0.0
notfall,15673644612840193,-2,-20.921985815602838,7.667
notfall,15673644613090194,-2,-18.345323741007196,0.0
notfall,15673644613320195,-2,-11.739130434782608,0.0
notfall,15673644613530196,-1,-11.666666666666664,7.558
notfall,15673644613760197,0,-5.855855855855857,7.103
notfall,15673644613980198,0,-0.7575757575757569,0.0
notfall,15673644614200199,1,1.4925373134328401,11.529
notfall,15673644614440200,2,6.296296296296299,12.212
notfall,15673644614650201,3,6.617647058823528,12.712
notfall,15673644614870202,4,-1.6666666666666663,10.748
notfall,15673644615090203,5,5.072463768115942,14.246
