action,timestamp,x_axis,y_axis,z_axis
notfall,15673644804320030,106,-22.115384615384613,4.196
notfall,15673644804550031,106,-22.115384615384613,0.0
notfall,15673644804770032,96,-29.000000000000004,-29.409999999999997
notfall,15673644804980033,89,-18.571428571428573,-27.643
notfall,15673644805200034,88,-7.547169811320753,-5.246
notfall,15673644805410035,65,-5.199999999999999,0.0
notfall,15673644805620036,12,-15.555555555555555,0.0
notfall,15673644805860037,11,-14.48087431693989,-14.239
notfall,15673644806110038,10,-13.243243243243242,-15.375
notfall,15673644806340039,9,-12.566844919786096,-16.471
notfall,15673644806560040,8,-14.851485148514854,-18.067
notfall,15673644806770041,5,-21.219512195121954,-51.105000000000004
notfall,15673644806990042,4,-22.330097087378643,-16.645
notfall,15673644807220043,2,-23.762376237623762,-29.804
notfall,15673644807440044,0,-21.938775510204085,-28.944
notfall,15673644807670045,-2,-20.3125,-29.178
notfall,15673644807890046,-3,-18.253968253968257,-14.442
notfall,15673644808110047,-3,-14.171122994652407,0.0
notfall,15673644808330048,-3,-8.791208791208794,0.0
notfall,15673644808580049,-3,-4.49438202247191,0.0
notfall,15673644808790050,-4,-2.571428571428569,-17.385
notfall,15673644809010051,-3,-1.4792899408284044,17.272
notfall,15673644809230052,-3,-4.0229885057471275,0.0
notfall,15673644809440053,-4,-8.152173913043475,-18.39
notfall,15673644809670054,-5,-9.562841530054644,-18.475
notfall,15673644809900055,-6,-17.59776536312849,-16.281
notfall,15673644810120056,-7,-17.0391061452514,-16.132
notfall,15673644810340057,-9,-17.79661016949153,-30.862
notfall,15673644810560058,-10,-16.860465116279073,-14.636
notfall,15673644810780059,-12,-16.272189349112427,-27.436
notfall,15673644811000060,-13,-17.261904761904763,-12.972
notfall,15673644811230061,-14,-16.867469879518072,-11.837
notfall,15673644811490062,-14,-16.666666666666668,0.0
notfall,15673644811730063,-15,-16.666666666666668,-12.353
notfall,15673644811950064,-15,-14.814814814814813,0.0
notfall,15673644812170065,-14,-15.853658536585364,12.926
notfall,15673644812390066,-15,-16.049382716049383,-13.117
notfall,15673644812630067,-15,-18.23529411764706,0.0
notfall,15673644812840068,-15,-19.23076923076923,0.0
notfall,15673644813060069,-16,-21.75141242937853,-12.303
notfall,15673644813280070,-17,-13.7037037037037,-8.267
notfall,15673644813490071,-18,-23.03370786516854,-12.09
notfall,15673644813710072,-19,-22.72727272727273,-11.811
notfall,15673644813960073,-19,-22.189349112426036,0.0
notfall,15673644814170074,-20,-21.856287425149702,-10.957
notfall,15673644814390075,-20,-21.34146341463415,0.0
notfall,15673644814610076,-21,-21.60493827160494,-9.427
notfall,15673644814830077,-21,-17.70186335403727,0.0
notfall,15673644815050078,-21,-15.000000000000002,0.0
notfall,15673644815290079,-21,-13.291139240506327,0.0
notfall,15673644815500080,-21,-13.225806451612904,0.0
notfall,15673644815720081,-21,-13.846153846153847,0.0
notfall,15673644815930082,-21,-18.055555555555557,0.0
notfall,15673644816140083,-21,-15.185185185185185,0.0
notfall,15673644816360084,-21,-18.055555555555557,0.0
notfall,15673644816600085,-21,-16.887417218543042,0.0
notfall,15673644816810086,-21,-20.70063694267516,0.0
notfall,15673644817030087,-21,-21.337579617834397,0.0
notfall,15673644817250088,-21,-20.96774193548387,0.0
notfall,15673644817470089,-21,-20.77922077922078,0.0
notfall,15673644817690090,-21,-22.07792207792208,0.0
notfall,15673644817940091,-21,-22.72727272727273,0.0
notfall,15673644818150092,-20,-23.026315789473685,8.632
notfall,15673644818370093,-21,-23.202614379084967,-8.882
notfall,15673644818580094,-19,-21.12676056338028,15.8
notfall,15673644818800095,-20,-22.72727272727273,-7.758
notfall,15673644819030096,-1,-17.52136752136752,6.247
